종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2215","-70","-3.06","102491401295"
"054620","APS홀딩스","KOSDAQ","금융","9440","0","0.00","192521446240"
"265520","AP시스템","KOSDAQ","반도체","16500","400","2.48","252143446500"
"211270","AP위성","KOSDAQ","통신장비","8650","170","2.00","130461929600"
"032790","BNGT","KOSDAQ","정보기기","4075","0","0.00","120352455875"
"013720","CBI","KOSDAQ","운송장비·부품","416","6","1.46","112461725376"
"035760","CJ ENM","KOSDAQ","방송서비스","75500","1900","2.58","1655651127000"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","26500","200","0.76","155784808000"
"051500","CJ프레시웨이","KOSDAQ","유통","30100","-150","-0.50","357334738600"
"058820","CMG제약","KOSDAQ","제약","2115","5","0.24","293757096060"
"023460","CNH","KOSDAQ","금융","2610","-45","-1.69","97092000000"
"056730","CNT85","KOSDAQ","건설","3100","0","0.00","110449763600"
"065770","CS","KOSDAQ","통신장비","1390","-35","-2.46","26981470700"
"083660","CSA 코스믹","KOSDAQ","화학","1280","0","0.00","50497527040"
"404950","DB금융스팩10호","KOSDAQ","금융","2085","-10","-0.48","12176400000"
"367340","DB금융스팩8호","KOSDAQ","금융","2080","-10","-0.48","12584000000"
"367360","DB금융스팩9호","KOSDAQ","금융","2090","0","0.00","10115600000"
"068790","DMS","KOSDAQ","기계·장비","4585","-60","-1.29","112667484685"
"241520","DSC인베스트먼트","KOSDAQ","금융","3740","-15","-0.40","104014647220"
"245620","EDGC","KOSDAQ","기타서비스","2220","160","7.77","186648566820"
"037370","EG","KOSDAQ","건설","7020","-230","-3.17","60547303440"
"050120","ES큐브","KOSDAQ","유통","3950","-70","-1.74","53578139700"
"084180","EV수성","KOSDAQ","기계·장비","1605","50","3.22","100594634925"
"214270","FSN","KOSDAQ","출판·매체복제","3060","25","0.82","85387929120"
"130500","GH신소재","KOSDAQ","섬유·의류","3300","20","0.61","47998671600"
"900290","GRT","KOSDAQ","금융","2800","-20","-0.71","188650000000"
"083450","GST","KOSDAQ","반도체","19900","50","0.25","185423125500"
"297890","HB솔루션","KOSDAQ","기계·장비","13050","-350","-2.61","218197213650"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1825","15","0.83","144157527450"
"195940","HK이노엔","KOSDAQ","제약","33250","1350","4.23","961074591750"
"028300","HLB","KOSDAQ","운송장비·부품","41050","-450","-1.08","4388387895050"
