종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","6850","0","0.00","320732720750"
"006840","AK홀딩스","KOSPI","기타금융","12300","-250","-1.99","162945000300"
"027410","BGF","KOSPI","기타금융","3215","10","0.31","307729483065"
"282330","BGF리테일","KOSPI","유통업","171500","-500","-0.29","2964189879000"
"138930","BNK금융지주","KOSPI","기타금융","6170","-10","-0.16","2011020467820"
"001460","BYC","KOSPI","섬유의복","378500","1500","0.40","236416777500"
"001465","BYC우","KOSPI","섬유의복","140000","500","0.36","30153900000"
"001040","CJ","KOSPI","기타금융","69400","1600","2.36","2024883661200"
"079160","CJ CGV","KOSPI","서비스업","14000","50","0.36","667935198000"
"00104K","CJ4우(전환)","KOSPI","기타금융","64100","1300","2.07","270919419200"
"000120","CJ대한통운","KOSPI","운수창고업","78600","-1700","-2.12","1793050238400"
"011150","CJ씨푸드","KOSPI","음식료품","2595","-15","-0.57","93240355935"
"011155","CJ씨푸드1우","KOSPI","음식료품","25300","0","0.00","5060000000"
"001045","CJ우","KOSPI","기타금융","46700","250","0.54","105552414100"
"097950","CJ제일제당","KOSPI","음식료품","398000","-2000","-0.50","5991566028000"
"097955","CJ제일제당 우","KOSPI","음식료품","166500","500","0.30","221017594500"
"000590","CS홀딩스","KOSPI","기타금융","52700","-200","-0.38","60841201400"
"012030","DB","KOSPI","서비스업","734","1","0.14","147661666822"
"016610","DB금융투자","KOSPI","증권","4355","-10","-0.23","184854024095"
"005830","DB손해보험","KOSPI","보험","54200","-1100","-1.99","3837360000000"
"000990","DB하이텍","KOSPI","전기전자","39450","150","0.38","1751524296600"
"000995","DB하이텍1우","KOSPI","전기전자","86100","-200","-0.23","9670407600"
"139130","DGB금융지주","KOSPI","기타금융","7000","0","0.00","1184020831000"
"001530","DI동일","KOSPI","유통업","13800","0","0.00","352842126000"
"000210","DL","KOSPI","기타금융","58700","1700","2.98","1230110390800"
"001880","DL건설","KOSPI","건설업","14950","-50","-0.33","329696595800"
"000215","DL우","KOSPI","기타금융","34100","450","1.34","57496521500"
"375500","DL이앤씨","KOSPI","건설업","35450","750","2.16","1371688935350"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","27600","150","0.55","58289847600"
"37550K","DL이앤씨우","KOSPI","건설업","23450","-250","-1.05","49570603250"
"007340","DN오토모티브","KOSPI","전기전자","60000","-400","-0.66","599640300000"
"004840","DRB동일","KOSPI","화학","4085","-30","-0.73","81414050000"
"155660","DSR","KOSPI","철강금속","4700","230","5.15","75200000000"
"069730","DSR제강","KOSPI","철강금속","4165","45","1.09","59976000000"
"017940","E1","KOSPI","유통업","42800","200","0.47","293608000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4500","-130","-2.81","958900500000"
"383220","F&F","KOSPI","섬유의복","139000","3000","2.21","5324683425000"
"007700","F&F홀딩스","KOSPI","기타금융","14050","50","0.36","549556856350"
"114090","GKL","KOSPI","서비스업","15000","-100","-0.66","927835050000"
"078930","GS","KOSPI","기타금융","44050","200","0.46","4092922400900"
"006360","GS건설","KOSPI","건설업","22950","1400","6.50","1964095195500"
"001250","GS글로벌","KOSPI","유통업","2700","-40","-1.46","222841162800"
"007070","GS리테일","KOSPI","유통업","24600","200","0.82","2576060881200"
"078935","GS우","KOSPI","기타금융","34700","0","0.00","61933462200"
"012630","HDC","KOSPI","기타금융","5730","-30","-0.52","342320061330"
"039570","HDC랩스","KOSPI","건설업","7970","-110","-1.36","206882079970"
"089470","HDC현대EP","KOSPI","화학","3830","-65","-1.67","122177000000"
"294870","HDC현대산업개발","KOSPI","건설업","10500","200","1.94","692026965000"
"267250","HD현대","KOSPI","화학","58000","400","0.69","4581598930000"
"097230","HJ중공업","KOSPI","건설업","4035","-180","-4.27","336011723835"
"014790","HL D&I","KOSPI","건설업","3005","-55","-1.80","113765096005"
"003580","HLB글로벌","KOSPI","광업","7520","-220","-2.84","318600155840"
"204320","HL만도","KOSPI","운수장비","42050","-450","-1.06","1974546896000"
"060980","HL홀딩스","KOSPI","기타금융","30300","500","1.68","317303721000"
"011200","HMM","KOSPI","운수창고업","17800","0","0.00","8704903028800"
"082740","HSD엔진","KOSPI","기계","7090","290","4.26","507246917460"
"003560","IHQ","KOSPI","서비스업","461","4","0.88","85678833222"
"175330","JB금융지주","KOSPI","기타금융","7180","90","1.27","1414337178920"
"234080","JW생명과학","KOSPI","의약품","11500","200","1.77","182097371000"
"001060","JW중외제약","KOSPI","의약품","17700","150","0.85","392552033700"
"001067","JW중외제약2우B","KOSPI","의약품","64900","0","0.00","6679962300"
"001065","JW중외제약우","KOSPI","의약품","34700","-350","-1.00","6340904500"
"096760","JW홀딩스","KOSPI","기타금융","2775","-5","-0.18","195484059150"
"105560","KB금융","KOSPI","기타금융","44550","-100","-0.22","18216364379400"
"432320","KB스타리츠","KOSPI","서비스업","4085","-135","-3.20","414277354225"
"002380","KCC","KOSPI","화학","245000","8000","3.38","2177185395000"
"344820","KCC글라스","KOSPI","비금속광물","40400","150","0.37","645208684800"
"009070","KCTC","KOSPI","운수창고업","3920","-45","-1.13","117600000000"
"009440","KC그린홀딩스","KOSPI","기타금융","2945","-25","-0.84","66071016100"
"119650","KC코트렐","KOSPI","기계","2875","-30","-1.03","50601311000"
"092220","KEC","KOSPI","전기전자","2535","-55","-2.12","366936537435"
"016380","KG스틸","KOSPI","철강금속","8100","0","0.00","810072065700"
"001390","KG케미칼","KOSPI","화학","21500","150","0.70","298121064000"
"033180","KH 필룩스","KOSPI","전기전자","992","-7","-0.70","154022753024"
"001940","KISCO홀딩스","KOSPI","철강금속","12250","150","1.24","198160655000"
